order_id,customer_id,order_date,status,amount,updated_at
1001,C001,2024-04-10,completed,125.00,2024-04-12
1002,C002,2024-04-12,completed,89.50,2024-04-14
1003,C003,2024-04-14,completed,200.00,2024-04-16
1004,C004,2024-04-15,completed,45.00,2024-04-17
1005,C005,2024-04-16,shipped,310.00,2024-04-18
1006,C001,2024-04-17,shipped,75.00,2024-04-19
1007,C006,2024-04-18,placed,180.00,2024-04-18
1008,C007,2024-04-19,placed,95.00,2024-04-19
1009,C002,2024-04-20,placed,420.00,2024-04-20
1010,C008,2024-04-20,placed,55.00,2024-04-20
